"ID","Sexe","Age","Commune","Connaissance_Produits","Disponibilite_Produits","Frequence_Achat","Depense_Moyenne_Mois","Qualite_Service","Satisfaction_Globale","Interet_Nouveau_Service","Caracteristiques_Recherchees","Support_Info","Importance_Disponibilite","Importance_Qualite","Importance_Prix","Importance_Image","Willingness_to_Pay","Commentaires"
35,"Femme",24,"Hann Bel-Air","Oui",2,"Souvent",14408,2,3,"Oui","Offre personnalisée","Email",1,5,4,2,11122,"Améliorer la qualité du service."
36,"Femme",24,"Dakar-Plateau","Oui",3,"Souvent",22403,4,3,"Oui","Livraison rapide","Affichage campus",1,4,2,5,13578,"Offrir un essai gratuit."
37,"Homme",23,"Hann Bel-Air","Oui",4,"Très souvent",19374,3,3,"Oui","Livraison rapide","Bouche-à-oreille",4,5,5,3,13598,"Offrir un essai gratuit."
38,"Femme",24,"Yoff","Oui",4,"Parfois",12233,3,3,"Oui","Sécurité","Réseaux sociaux",1,5,2,2,12049,"Bonne initiative pour les étudiants."
39,"Femme",20,"Fann-Point E-Amitié","Non",4,"Rarement",11375,1,1,"Oui","Prix bas","Email",5,3,1,1,9360,"Offrir un essai gratuit."
40,"Femme",20,"Hann Bel-Air","Non",2,"Parfois",11119,4,4,"Non","Sécurité","Affichage campus",5,2,4,1,7302,"Offrir un essai gratuit."
41,"Femme",18,"Ouakam","Non",2,"Jamais",9081,2,2,"Oui","Livraison rapide","Bouche-à-oreille",2,4,2,1,8582,"Ajouter plus de fonctionnalités."
42,"Femme",19,"Gueule Tapée-Fass-Colobane","Oui",2,"Très souvent",14841,3,2,"Oui","Interface simple","Email",2,1,5,3,10450,"Rendre les prix plus abordables."
43,"Femme",20,"Fann-Point E-Amitié","Oui",2,"Très souvent",16056,4,4,"Non","Offre personnalisée","Email",5,4,2,1,11929,"Améliorer la qualité du service."
44,"Femme",20,"Ngor","Oui",3,"Parfois",14282,3,4,"Non","Livraison rapide","SMS",1,1,3,4,9528,"Offrir un essai gratuit."
45,"Femme",21,"Fann-Point E-Amitié","Oui",1,"Parfois",13591,3,2,"Oui","Prix bas","Email",3,4,4,1,12965,"Rendre les prix plus abordables."
46,"Femme",22,"Gueule Tapée-Fass-Colobane","Non",5,"Rarement",10938,1,1,"Oui","Livraison rapide","Email",4,4,4,4,7713,"Améliorer la qualité du service."
47,"Femme",23,"Gueule Tapée-Fass-Colobane","Oui",5,"Souvent",20967,3,3,"Oui","Livraison rapide","Email",3,3,3,4,17827,"Ajouter plus de fonctionnalités."
48,"Femme",22,"Patte d'Oie","Oui",1,"Parfois",19701,3,4,"Oui","Sécurité","SMS",3,4,4,1,15288,"Améliorer la qualité du service."
49,"Femme",18,"Mermoz-Sacré-Cœur","Oui",5,"Très souvent",17294,3,3,"Oui","Livraison rapide","Bouche-à-oreille",2,5,4,3,14302,"Offrir un essai gratuit."
50,"Homme",23,"Grand Dakar","Oui",1,"Souvent",19945,4,5,"Non","Sécurité","Bouche-à-oreille",2,4,5,2,13206,"Offrir un essai gratuit."
51,"Femme",19,"Ouakam","Oui",1,"Très souvent",19647,5,4,"Oui","Sécurité","Email",1,2,4,3,16208,"Bonne initiative pour les étudiants."
52,"Femme",18,"Fann-Point E-Amitié","Oui",5,"Parfois",23414,4,5,"Oui","Sécurité","Affichage campus",2,3,2,4,15828,"Bonne initiative pour les étudiants."
53,"Homme",26,"Grand Dakar","Non",4,"Rarement",9034,2,2,"Oui","Prix bas","Bouche-à-oreille",1,1,3,1,8015,"Rendre les prix plus abordables."
54,"Femme",24,"Dakar-Plateau","Oui",2,"Très souvent",16175,3,2,"Oui","Interface simple","Email",3,3,1,2,12017,"Améliorer la qualité du service."
55,"Homme",26,"Yoff","Oui",4,"Souvent",16140,3,1,"Oui","Prix bas","SMS",5,4,3,2,9236,"Ajouter plus de fonctionnalités."
56,"Femme",21,"Dakar-Plateau","Non",1,"Jamais",10752,3,3,"Oui","Livraison rapide","Affichage campus",1,5,3,1,12695,"Ajouter plus de fonctionnalités."
57,"Femme",19,"Ngor","Oui",3,"Souvent",15545,3,4,"Non","Sécurité","SMS",2,1,1,1,8219,"Ajouter plus de fonctionnalités."
58,"Homme",26,"Dakar-Plateau","Oui",3,"Souvent",16053,3,3,"Oui","Livraison rapide","Bouche-à-oreille",4,3,2,1,12474,"Offrir un essai gratuit."
59,"Homme",26,"Ngor","Non",3,"Jamais",6164,1,1,"Oui","Livraison rapide","SMS",1,5,2,2,9272,"Bonne initiative pour les étudiants."
60,"Femme",19,"Parcelles Assainies","Oui",2,"Très souvent",7687,5,5,"Non","Livraison rapide","Affichage campus",1,1,2,2,8743,"Ajouter plus de fonctionnalités."
61,"Homme",24,"Hann Bel-Air","Oui",4,"Souvent",14193,2,2,"Oui","Livraison rapide","Email",3,3,3,2,11237,"Améliorer la qualité du service."
62,"Femme",21,"Fann-Point E-Amitié","Non",3,"Rarement",13272,3,2,"Oui","Livraison rapide","Bouche-à-oreille",4,4,3,5,13161,"Offrir un essai gratuit."
63,"Femme",23,"Ouakam","Oui",1,"Parfois",11867,3,3,"Oui","Offre personnalisée","Email",2,4,2,3,12573,"Rendre les prix plus abordables."
64,"Femme",23,"Hann Bel-Air","Non",5,"Parfois",4290,4,4,"Oui","Offre personnalisée","Bouche-à-oreille",2,3,3,2,10888,"Offrir un essai gratuit."
65,"Homme",27,"Fann-Point E-Amitié","Oui",2,"Souvent",16064,5,4,"Non","Sécurité","Bouche-à-oreille",4,5,5,1,12135,"Améliorer la qualité du service."
66,"Femme",19,"Ouakam","Non",5,"Jamais",12559,1,1,"Non","Prix bas","Bouche-à-oreille",1,4,1,3,4834,"Rendre les prix plus abordables."
67,"Homme",23,"Gueule Tapée-Fass-Colobane","Oui",5,"Souvent",13434,5,5,"Non","Sécurité","Email",2,5,2,1,8639,"Bonne initiative pour les étudiants."
68,"Homme",20,"Ngor","Oui",3,"Parfois",20490,4,4,"Oui","Sécurité","SMS",4,1,2,5,19755,"Améliorer la qualité du service."
69,"Homme",26,"Ngor","Non",5,"Parfois",14362,3,4,"Oui","Livraison rapide","Réseaux sociaux",5,4,2,5,17755,"Ajouter plus de fonctionnalités."
70,"Femme",24,"Patte d'Oie","Oui",4,"Parfois",16503,3,3,"Oui","Livraison rapide","Réseaux sociaux",3,1,2,5,11697,"Améliorer la qualité du service."
71,"Homme",26,"Grand Dakar","Oui",5,"Parfois",17428,3,3,"Oui","Livraison rapide","Email",4,2,2,1,14583,"Ajouter plus de fonctionnalités."
72,"Homme",29,"Ngor","Non",3,"Parfois",13965,4,4,"Non","Sécurité","SMS",5,4,1,3,11816,"Offrir un essai gratuit."
73,"Homme",26,"Mermoz-Sacré-Cœur","Oui",5,"Parfois",22267,1,1,"Oui","Prix bas","Affichage campus",3,4,3,5,14081,"Offrir un essai gratuit."
74,"Femme",25,"Fann-Point E-Amitié","Oui",4,"Souvent",19891,5,4,"Non","Offre personnalisée","Email",2,5,4,2,13656,"Ajouter plus de fonctionnalités."
75,"Femme",24,"Yoff","Oui",2,"Très souvent",7683,3,4,"Non","Offre personnalisée","Réseaux sociaux",2,2,3,4,3331,"Améliorer la qualité du service."
76,"Femme",24,"Grand Dakar","Oui",1,"Très souvent",14419,2,2,"Oui","Livraison rapide","Affichage campus",5,1,5,5,10560,"Offrir un essai gratuit."
77,"Femme",21,"Patte d'Oie","Oui",5,"Souvent",16064,4,5,"Non","Offre personnalisée","SMS",5,2,2,3,12177,"Améliorer la qualité du service."
78,"Homme",24,"Mermoz-Sacré-Cœur","Non",5,"Parfois",11792,1,1,"Oui","Prix bas","Bouche-à-oreille",3,5,2,3,9627,"Bonne initiative pour les étudiants."
79,"Femme",20,"Dakar-Plateau","Oui",3,"Parfois",15907,3,1,"Oui","Livraison rapide","Bouche-à-oreille",2,1,3,4,9628,"Rendre les prix plus abordables."
80,"Femme",23,"Parcelles Assainies","Non",4,"Rarement",8958,1,2,"Oui","Livraison rapide","Affichage campus",3,4,3,1,9991,"Offrir un essai gratuit."
81,"Femme",23,"Gueule Tapée-Fass-Colobane","Oui",1,"Parfois",18437,1,1,"Oui","Interface simple","Email",5,1,1,2,9901,"Améliorer la qualité du service."
82,"Homme",20,"Grand Dakar","Non",2,"Parfois",16955,3,3,"Oui","Sécurité","Affichage campus",5,2,5,2,15551,"Améliorer la qualité du service."
83,"Femme",23,"Ngor","Oui",3,"Très souvent",20244,5,5,"Non","Offre personnalisée","Réseaux sociaux",5,5,1,1,11374,"Rendre les prix plus abordables."
84,"Homme",23,"Gueule Tapée-Fass-Colobane","Non",2,"Rarement",9782,3,4,"Oui","Livraison rapide","Affichage campus",5,1,3,1,12956,"Améliorer la qualité du service."
85,"Femme",25,"Patte d'Oie","Oui",3,"Très souvent",23376,3,2,"Oui","Interface simple","SMS",2,3,3,3,14657,"Bonne initiative pour les étudiants."
86,"Femme",21,"Gueule Tapée-Fass-Colobane","Oui",4,"Très souvent",15455,4,3,"Oui","Sécurité","Email",2,2,2,2,14971,"Rendre les prix plus abordables."
87,"Homme",23,"Patte d'Oie","Non",2,"Jamais",10140,2,3,"Oui","Livraison rapide","SMS",1,2,2,5,10810,"Améliorer la qualité du service."
88,"Homme",27,"Mermoz-Sacré-Cœur","Non",3,"Parfois",9826,3,2,"Non","Livraison rapide","Bouche-à-oreille",3,2,3,3,9236,"Ajouter plus de fonctionnalités."
89,"Homme",30,"Ngor","Oui",4,"Parfois",19599,3,2,"Non","Livraison rapide","SMS",2,2,1,1,12654,"Offrir un essai gratuit."
90,"Femme",20,"Patte d'Oie","Oui",2,"Très souvent",15395,4,5,"Oui","Livraison rapide","SMS",3,3,1,5,17324,"Bonne initiative pour les étudiants."
91,"Femme",25,"Patte d'Oie","Oui",4,"Très souvent",22604,3,3,"Oui","Livraison rapide","SMS",1,4,4,5,17105,"Bonne initiative pour les étudiants."
92,"Homme",24,"Fann-Point E-Amitié","Oui",2,"Très souvent",21379,4,5,"Oui","Offre personnalisée","Bouche-à-oreille",1,2,3,1,18184,"Améliorer la qualité du service."
93,"Femme",22,"Yoff","Oui",5,"Souvent",19150,3,3,"Oui","Livraison rapide","Réseaux sociaux",3,5,2,1,11625,"Améliorer la qualité du service."
94,"Homme",24,"Ngor","Oui",1,"Très souvent",17279,4,4,"Oui","Offre personnalisée","SMS",5,5,4,1,14288,"Ajouter plus de fonctionnalités."
95,"Femme",25,"Yoff","Oui",3,"Souvent",14794,4,3,"Oui","Offre personnalisée","Réseaux sociaux",3,1,1,2,11670,"Ajouter plus de fonctionnalités."
96,"Femme",25,"Mermoz-Sacré-Cœur","Oui",3,"Très souvent",16292,4,5,"Oui","Livraison rapide","Bouche-à-oreille",5,1,4,3,16256,"Bonne initiative pour les étudiants."
97,"Homme",26,"Yoff","Non",4,"Rarement",5868,2,1,"Oui","Prix bas","Réseaux sociaux",1,3,4,4,8670,"Ajouter plus de fonctionnalités."
98,"Femme",24,"Hann Bel-Air","Oui",5,"Souvent",20871,2,2,"Non","Livraison rapide","Bouche-à-oreille",3,2,5,4,10217,"Bonne initiative pour les étudiants."
99,"Femme",23,"Mermoz-Sacré-Cœur","Oui",4,"Souvent",15816,4,4,"Oui","Sécurité","Affichage campus",1,1,1,3,15628,"Bonne initiative pour les étudiants."
100,"Femme",21,"Grand Dakar","Oui",2,"Parfois",14087,1,1,"Non","Interface simple","Email",4,4,1,5,8891,"Rendre les prix plus abordables."
101,"Homme",25,"Ouakam","Non",4,"Jamais",16968,2,3,"Oui","Sécurité","Affichage campus",1,5,1,3,13435,"Ajouter plus de fonctionnalités."
102,"Femme",19,"Patte d'Oie","Non",4,"Parfois",16253,3,2,"Non","Prix bas","SMS",5,1,4,1,7366,"Ajouter plus de fonctionnalités."
103,"Femme",21,"Patte d'Oie","Non",2,"Parfois",18693,2,2,"Oui","Livraison rapide","SMS",1,5,1,2,16459,"Ajouter plus de fonctionnalités."
104,"Homme",23,"Grand Dakar","Non",5,"Rarement",13329,3,3,"Non","Offre personnalisée","Email",4,2,4,3,10096,"Rendre les prix plus abordables."
105,"Femme",18,"Grand Dakar","Oui",2,"Parfois",17247,4,5,"Oui","Livraison rapide","Bouche-à-oreille",5,4,1,3,13212,"Rendre les prix plus abordables."
106,"Homme",20,"Gueule Tapée-Fass-Colobane","Oui",4,"Très souvent",20307,2,2,"Oui","Prix bas","Email",2,4,3,4,14124,"Ajouter plus de fonctionnalités."
107,"Homme",25,"Patte d'Oie","Non",5,"Rarement",7698,2,3,"Oui","Livraison rapide","SMS",1,3,3,2,13204,"Bonne initiative pour les étudiants."
108,"Homme",20,"Dakar-Plateau","Non",2,"Jamais",9509,4,3,"Oui","Offre personnalisée","Affichage campus",1,1,3,4,9140,"Offrir un essai gratuit."
109,"Femme",27,"Grand Dakar","Oui",3,"Très souvent",17362,3,2,"Non","Livraison rapide","Affichage campus",4,4,4,5,7136,"Rendre les prix plus abordables."
110,"Femme",19,"Grand Dakar","Oui",1,"Parfois",18651,2,3,"Oui","Offre personnalisée","Bouche-à-oreille",2,3,3,3,13762,"Améliorer la qualité du service."
111,"Homme",27,"Gueule Tapée-Fass-Colobane","Non",2,"Parfois",13669,2,1,"Oui","Prix bas","Email",4,4,1,4,13672,"Améliorer la qualité du service."
112,"Femme",18,"Mermoz-Sacré-Cœur","Oui",2,"Souvent",14379,3,2,"Non","Prix bas","Bouche-à-oreille",4,4,2,1,6413,"Ajouter plus de fonctionnalités."
113,"Femme",20,"Yoff","Oui",5,"Parfois",16261,3,3,"Oui","Offre personnalisée","SMS",2,2,1,5,13154,"Ajouter plus de fonctionnalités."
114,"Homme",18,"Patte d'Oie","Oui",1,"Souvent",17685,3,3,"Non","Livraison rapide","SMS",1,4,4,1,9036,"Ajouter plus de fonctionnalités."
115,"Homme",26,"Grand Dakar","Non",2,"Jamais",10356,2,3,"Oui","Offre personnalisée","Bouche-à-oreille",2,3,2,4,9715,"Bonne initiative pour les étudiants."
116,"Femme",21,"Hann Bel-Air","Non",3,"Parfois",10088,4,5,"Non","Offre personnalisée","Email",5,1,5,4,9944,"Bonne initiative pour les étudiants."
117,"Homme",28,"Parcelles Assainies","Oui",4,"Souvent",12593,4,5,"Oui","Offre personnalisée","Bouche-à-oreille",2,3,2,5,13758,"Bonne initiative pour les étudiants."
118,"Homme",21,"Gueule Tapée-Fass-Colobane","Oui",2,"Souvent",11276,4,4,"Non","Offre personnalisée","Email",3,5,5,2,11223,"Offrir un essai gratuit."
119,"Homme",30,"Patte d'Oie","Non",2,"Rarement",10315,2,2,"Oui","Prix bas","Réseaux sociaux",4,4,4,4,7192,"Améliorer la qualité du service."
120,"Femme",24,"Ngor","Oui",1,"Souvent",18592,3,3,"Non","Livraison rapide","Réseaux sociaux",2,5,3,1,13273,"Rendre les prix plus abordables."
121,"Homme",29,"Dakar-Plateau","Oui",1,"Parfois",15412,4,5,"Oui","Livraison rapide","Bouche-à-oreille",2,1,1,2,13376,"Bonne initiative pour les étudiants."
122,"Femme",21,"Grand Dakar","Oui",3,"Souvent",15880,4,4,"Non","Offre personnalisée","Affichage campus",1,5,2,4,9260,"Offrir un essai gratuit."
123,"Femme",19,"Grand Dakar","Oui",4,"Souvent",20140,4,5,"Non","Offre personnalisée","Bouche-à-oreille",1,2,1,4,11948,"Améliorer la qualité du service."
124,"Femme",23,"Yoff","Oui",4,"Souvent",16159,4,3,"Non","Livraison rapide","Réseaux sociaux",1,2,1,4,11038,"Ajouter plus de fonctionnalités."
125,"Femme",22,"Parcelles Assainies","Oui",4,"Parfois",17768,3,3,"Oui","Sécurité","Email",3,1,1,4,17744,"Améliorer la qualité du service."
126,"Homme",23,"Dakar-Plateau","Oui",1,"Souvent",15941,3,1,"Oui","Prix bas","Email",1,5,2,3,9629,"Rendre les prix plus abordables."
127,"Femme",26,"Hann Bel-Air","Oui",4,"Très souvent",14994,3,3,"Oui","Sécurité","Affichage campus",4,3,5,1,14308,"Offrir un essai gratuit."
128,"Femme",24,"Parcelles Assainies","Non",1,"Parfois",10238,3,2,"Oui","Prix bas","Affichage campus",5,1,4,3,11344,"Bonne initiative pour les étudiants."
129,"Femme",22,"Fann-Point E-Amitié","Oui",1,"Parfois",17566,3,3,"Non","Livraison rapide","Affichage campus",5,3,2,2,9449,"Améliorer la qualité du service."
130,"Homme",23,"Parcelles Assainies","Non",3,"Jamais",10192,3,3,"Non","Sécurité","Affichage campus",5,2,1,1,4032,"Rendre les prix plus abordables."
131,"Homme",21,"Ngor","Non",2,"Parfois",13281,2,3,"Oui","Offre personnalisée","Réseaux sociaux",2,5,5,4,10597,"Ajouter plus de fonctionnalités."
132,"Homme",28,"Grand Dakar","Non",1,"Rarement",7315,3,2,"Oui","Livraison rapide","Email",2,5,3,1,10111,"Ajouter plus de fonctionnalités."
133,"Homme",22,"Fann-Point E-Amitié","Oui",1,"Souvent",16164,2,1,"Oui","Interface simple","Email",4,3,1,1,11557,"Ajouter plus de fonctionnalités."
134,"Homme",21,"Yoff","Oui",2,"Parfois",12701,2,1,"Oui","Prix bas","SMS",1,1,5,3,12432,"Offrir un essai gratuit."
135,"Homme",24,"Yoff","Non",5,"Jamais",13281,1,1,"Oui","Prix bas","SMS",2,1,1,3,8694,"Améliorer la qualité du service."
136,"Homme",25,"Grand Dakar","Oui",1,"Souvent",16570,5,5,"Oui","Livraison rapide","Email",4,5,1,1,15661,"Ajouter plus de fonctionnalités."
137,"Homme",19,"Gueule Tapée-Fass-Colobane","Oui",5,"Parfois",11458,3,3,"Oui","Offre personnalisée","Bouche-à-oreille",2,1,3,2,14167,"Ajouter plus de fonctionnalités."
138,"Homme",21,"Gueule Tapée-Fass-Colobane","Oui",5,"Parfois",14631,3,4,"Non","Offre personnalisée","Bouche-à-oreille",2,2,3,4,6069,"Ajouter plus de fonctionnalités."
139,"Homme",20,"Ouakam","Non",5,"Parfois",12123,3,3,"Oui","Sécurité","Affichage campus",3,1,5,4,10039,"Rendre les prix plus abordables."
140,"Femme",21,"Fann-Point E-Amitié","Oui",5,"Très souvent",21156,3,2,"Oui","Livraison rapide","Affichage campus",2,1,5,2,14010,"Bonne initiative pour les étudiants."
141,"Femme",18,"Mermoz-Sacré-Cœur","Non",3,"Rarement",12208,3,3,"Oui","Offre personnalisée","Affichage campus",1,2,3,5,12517,"Améliorer la qualité du service."
142,"Femme",23,"Hann Bel-Air","Oui",1,"Parfois",14305,5,5,"Non","Sécurité","Email",5,5,5,5,10070,"Bonne initiative pour les étudiants."
143,"Femme",22,"Dakar-Plateau","Oui",2,"Souvent",16631,4,3,"Non","Offre personnalisée","Email",4,1,5,1,11815,"Améliorer la qualité du service."
144,"Femme",27,"Hann Bel-Air","Non",3,"Rarement",13090,3,2,"Oui","Prix bas","Affichage campus",2,5,1,4,12233,"Rendre les prix plus abordables."
145,"Homme",24,"Ouakam","Oui",4,"Souvent",27836,3,3,"Oui","Offre personnalisée","Email",1,2,5,1,21491,"Améliorer la qualité du service."
146,"Femme",23,"Hann Bel-Air","Oui",4,"Parfois",7684,3,3,"Oui","Livraison rapide","Bouche-à-oreille",1,3,2,2,7253,"Ajouter plus de fonctionnalités."
147,"Femme",24,"Parcelles Assainies","Non",2,"Jamais",7533,2,1,"Oui","Prix bas","Affichage campus",4,3,3,5,9205,"Offrir un essai gratuit."
148,"Femme",24,"Ouakam","Oui",1,"Très souvent",12189,3,2,"Oui","Prix bas","Affichage campus",5,5,2,2,9886,"Rendre les prix plus abordables."
149,"Femme",23,"Ngor","Non",2,"Rarement",14915,3,3,"Non","Sécurité","Réseaux sociaux",4,5,5,5,9394,"Rendre les prix plus abordables."
150,"Homme",26,"Grand Dakar","Non",1,"Parfois",16390,5,5,"Non","Livraison rapide","Email",5,2,1,5,8538,"Offrir un essai gratuit."
151,"Homme",21,"Gueule Tapée-Fass-Colobane","Non",1,"Parfois",7438,2,2,"Oui","Interface simple","Affichage campus",1,3,1,2,6877,"Bonne initiative pour les étudiants."
152,"Femme",24,"Dakar-Plateau","Oui",3,"Parfois",24337,4,5,"Oui","Offre personnalisée","Email",2,5,2,2,21154,"Améliorer la qualité du service."
153,"Femme",25,"Grand Dakar","Oui",4,"Parfois",18028,2,2,"Non","Interface simple","Bouche-à-oreille",1,5,1,4,12154,"Rendre les prix plus abordables."
154,"Femme",26,"Fann-Point E-Amitié","Oui",1,"Très souvent",26574,4,4,"Non","Offre personnalisée","Affichage campus",2,3,3,3,13673,"Améliorer la qualité du service."
155,"Femme",24,"Dakar-Plateau","Oui",1,"Souvent",20294,2,3,"Oui","Livraison rapide","Affichage campus",3,2,1,5,15101,"Rendre les prix plus abordables."
156,"Femme",23,"Parcelles Assainies","Oui",3,"Très souvent",11939,5,5,"Oui","Sécurité","Email",4,1,1,4,10033,"Rendre les prix plus abordables."
157,"Homme",29,"Grand Dakar","Oui",3,"Très souvent",13986,3,3,"Oui","Livraison rapide","Bouche-à-oreille",3,4,2,5,12748,"Offrir un essai gratuit."
158,"Femme",18,"Fann-Point E-Amitié","Oui",1,"Souvent",18092,4,3,"Oui","Sécurité","Email",2,1,4,1,13542,"Ajouter plus de fonctionnalités."
159,"Femme",20,"Patte d'Oie","Non",2,"Rarement",11837,4,4,"Oui","Livraison rapide","Réseaux sociaux",5,5,5,4,16167,"Bonne initiative pour les étudiants."
160,"Femme",21,"Gueule Tapée-Fass-Colobane","Non",4,"Parfois",12392,3,2,"Oui","Interface simple","Bouche-à-oreille",4,5,1,5,12005,"Ajouter plus de fonctionnalités."
161,"Femme",23,"Ngor","Oui",5,"Très souvent",19930,4,3,"Oui","Sécurité","Réseaux sociaux",4,5,4,1,18136,"Rendre les prix plus abordables."
